,FeatureID,Fold Change,p.value
6,10,0.17355,0.00071463
53,113,2108.8,0.0028781999999999996
70,130,0.09615399999999999,
71,131,0.092593,
72,132,0.08064500000000001,
73,133,0.0062813999999999995,
86,146,0.064164,0.0091574
356,1000,0.00091575,
362,1006,0.0018155,
376,1020,0.00024131,1e-05
379,1023,0.00061828,
424,1068,6.3909,0.0015387
448,1092,0.00056066,
561,1205,0.021097,0.007937399999999999
586,1230,0.0016984,
594,1238,0.0049310000000000005,
606,1250,0.0030451000000000002,0.0026353
618,1262,0.0010794,0.0017204999999999998
634,1278,0.021008000000000002,
644,1288,0.00042248,
646,1290,0.0013189,
658,1302,0.0017978999999999998,0.012281
660,1304,0.0011339,
661,1305,0.0047403,0.0025614
667,1311,0.004,
702,1346,0.00066041,0.0083962
767,1411,0.046286,0.0033215000000000002
772,1416,0.00079453,
787,1431,0.001438,
793,1437,5.1985,
815,1459,0.090909,
817,1461,0.17364000000000002,
831,1475,0.0007697,
834,1478,0.090314,0.011935
854,1498,0.034964999999999996,
859,1503,0.006377600000000001,
860,1504,0.07194199999999999,
862,1506,0.033113,
885,1529,0.0064851,
886,1530,7.1866,
891,1535,0.012875999999999999,
892,1536,81.0,
893,1537,0.17745,
922,1566,0.016779,
923,1567,0.0022221999999999997,
933,1577,0.0012115000000000001,
945,1589,0.00018274,
962,1606,0.0055188,
1011,1655,0.011493999999999999,
1012,1656,0.089286,
1016,1660,0.18519000000000002,
1020,1664,0.011848000000000001,0.006150899999999999
1081,1725,0.0038741,
1082,1726,0.00030883,
1084,1728,57.155,9.11e-06
1102,1746,0.048076999999999995,
1103,1747,47.67100000000001,7.5e-06
1117,1761,0.0020217,
1141,1785,0.020966,
1155,1799,40.167,0.0013893
1167,1811,0.12697999999999998,
1168,1812,0.0031659,
1169,1813,5.5807,
1175,1819,103.73,
1188,1832,50.568000000000005,2.65e-05
1196,1840,0.0010063,
1201,1845,21.641,0.0001311
1210,1854,0.007451600000000001,
1227,1871,0.0025329000000000003,
1237,1881,0.093484,
1252,1896,0.12284,
