"","Fold Change","log2(FC)"
"2425",17450,14.091
"758",9.0119e-05,-13.438
"624",10530,13.362
"672",9.7738e-05,-13.321
"4058",10034,13.293
"5487",9633.6,13.234
"752",0.00011271,-13.115
"5248",7835,12.936
"913",0.00013703,-12.833
"5231",5752.4,12.49
"3475",0.00017633,-12.469
"1589",0.00018274,-12.418
"712",0.00018975,-12.364
"5417",5069.6,12.308
"2925",5057.2,12.304
"5735",0.00021593,-12.177
"1020",0.00024131,-12.017
"2781",0.00025576,-11.933
"2745",3830.6,11.903
"698",0.00026455,-11.884
"2422",3449.2,11.752
"594",3434.1,11.746
"1726",0.00030883,-11.661
"704",0.00032094,-11.605
"3430",0.00033434,-11.546
"7288",2983.2,11.543
"2075",0.00033645,-11.537
"849",0.00034638,-11.495
"4289",0.00036441,-11.422
"5716",2735.6,11.418
"2780",0.00036941,-11.402
"1288",0.00042248,-11.209
"5702",2364.6,11.207
"5461",2241.6,11.13
"6884",2223.2,11.118
"113",2108.8,11.042
"6513",2070,11.015
"5284",1956.8,10.934
"5448",1844.8,10.849
"2423",1836.8,10.843
"1092",0.00056066,-10.801
"3591",1783.4,10.8
"999",0.00061214,-10.674
"1023",0.00061828,-10.659
"3856",0.00065325,-10.58
"1346",0.00066041,-10.564
"5460",1407.6,10.459
"4671",1357.2,10.406
"595",1353.5,10.402
"7243",1314.5,10.36
"1475",0.0007697,-10.343
"912",0.00078198,-10.321
"1416",0.00079453,-10.298
"3998",0.00081407,-10.263
"6509",1223,10.256
"5247",1167.6,10.189
"2429",0.00085793,-10.187
"2424",1108.2,10.114
"1000",0.00091575,-10.093
"1840",0.0010063,-9.9567
"2125",0.0010487,-9.8972
"2196",0.0010732,-9.8638
"1262",0.0010794,-9.8555
"1304",0.0011339,-9.7845
"715",0.001136,-9.7819
"1577",0.0012115,-9.6889
"640",0.0012252,-9.6728
"2344",813.4,9.6678
"6255",811.29,9.6641
"3476",795.51,9.6357
"7426",792.36,9.63
"702",0.0012684,-9.6227
"2918",770.41,9.5895
"1290",0.0013189,-9.5664
"992",0.0013729,-9.5086
"6508",721.2,9.4943
"1032",0.0013935,-9.487
"2332",0.0013971,-9.4833
"1431",0.001438,-9.4417
"4566",672.8,9.394
"993",0.0015066,-9.3745
"857",0.0015394,-9.3434
"716",0.0015929,-9.2942
"575",592.9,9.2117
"1230",0.0016984,-9.2016
"1302",0.0017979,-9.1195
"1006",0.0018155,-9.1054
"997",0.0018315,-9.0928
"6848",0.0018504,-9.0779
"2791",0.0018804,-9.0547
"7195",517,9.014
"1761",0.0020217,-8.9502
"2644",0.002032,-8.9429
"3425",0.0020483,-8.9313
"5265",485.26,8.9226
"3187",479.89,8.9066
"3690",472.87,8.8853
"3197",0.0022053,-8.8248
"1567",0.0022222,-8.8138
"588",430.53,8.75
"7194",427.67,8.7403
"6440",427.4,8.7394
"3888",426,8.7347
"435",405.57,8.6638
"1871",0.0025329,-8.625
"858",0.0025667,-8.6058
"2494",0.0027747,-8.4935
"821",0.0027923,-8.4843
"707",0.0029104,-8.4246
"3613",329.97,8.3662
"1250",0.0030451,-8.3593
"1812",0.0031659,-8.3032
"7365",307.2,8.263
"5707",289.6,8.1779
"5847",281,8.1344
"2391",0.0035689,-8.1303
"3471",267.42,8.063
"2912",0.0037879,-8.0444
"2334",0.0037975,-8.0407
"990",0.0038168,-8.0334
"1725",0.0038741,-8.0119
"2079",0.0038866,-8.0073
"812",0.0039688,-7.9771
"1311",0.004,-7.9658
"251",0.0040453,-7.9495
"3601",240.2,7.9081
"4798",232.2,7.8592
"811",0.0044344,-7.817
"2495",0.0046992,-7.7334
"1305",0.0047403,-7.7208
"3040",0.0047801,-7.7087
"1238",0.004931,-7.6639
"5449",196.57,7.6189
"5233",196.46,7.6181
"2536",194.78,7.6057
"3461",194.18,7.6012
"2513",0.0054348,-7.5236
"1606",0.0055188,-7.5014
"2088",0.0055556,-7.4919
"7199",175.82,7.4579
"2333",0.0060634,-7.3656
"133",0.0062814,-7.3147
"1503",0.0063776,-7.2928
"2635",0.006435,-7.2798
"1529",0.0064851,-7.2687
"888",0.006812,-7.1977
"2926",146.6,7.1957
"2343",145.11,7.181
"3922",141.6,7.1457
"855",0.0071159,-7.1347
"1854",0.0074516,-7.0682
"7364",131.33,7.0371
"903",0.0080635,-6.9544
"671",0.0081068,-6.9466
"436",116.73,6.8671
"949",0.0088132,-6.8261
"2652",0.0088919,-6.8133
"3612",108.74,6.7648
"1819",103.73,6.6967
"2708",103.2,6.6893
"2338",0.0098039,-6.6724
"2909",0.011416,-6.4529
"924",0.011438,-6.45
"1655",0.011494,-6.4429
"4296",86.409,6.4331
"3878",85.383,6.4159
"3048",0.011792,-6.406
"1664",0.011848,-6.3992
"4140",0.012195,-6.3576
"1536",81,6.3399
"688",0.012535,-6.3179
"2428",0.012594,-6.3111
"2833",78.877,6.3015
"268",78.4,6.2928
"4250",78.17,6.2885
"1535",0.012876,-6.2792
"2350",76.703,6.2612
"395",0.013223,-6.2408
"5691",74.246,6.2142
"2863",0.013514,-6.2095
"2309",0.013655,-6.1944
"4310",72.4,6.1779
"3110",0.015015,-6.0575
"382",0.015338,-6.0267
"2779",63.835,5.9963
"3081",63.378,5.9859
"2133",61.135,5.9339
"2616",0.016384,-5.9315
"832",0.016393,-5.9307
"1566",0.016779,-5.8972
"3039",0.017007,-5.8777
"5462",57.6,5.848
"1728",57.155,5.8368
"2615",0.017724,-5.8182
"943",0.017729,-5.8177
"1832",50.568,5.6602
"3798",48.03,5.5859
"1785",0.020966,-5.5758
"1747",47.671,5.575
"1278",0.021008,-5.5729
"1205",0.021097,-5.5668
"753",0.02232,-5.4855
"7196",44.375,5.4717
"947",0.022596,-5.4678
"4930",44.125,5.4635
"2313",0.022727,-5.4594
"5745",43.902,5.4562
"2619",0.022831,-5.4529
"3861",0.022874,-5.4502
"3472",40.327,5.3337
"1799",40.167,5.3279
